1.83	0	1	26.07	-0.02
1.93	0	1	26.11	0.00
2.03	0	1	26.07	-0.02
2.13	0	1	26.07	-0.03
2.23	0	1	26.07	-0.03
2.33	0	1	26.07	-0.03
2.43	0	1	26.07	0.00
2.53	0	1	26.11	0.00
2.62	0	1	26.07	0.00
2.72	0	1	26.11	0.00
2.82	0	1	26.07	0.00
2.92	0	1	26.11	0.00
3.02	0	1	26.07	0.00
3.12	0	1	26.11	0.03
3.22	0	1	26.11	0.03
3.32	0	1	26.11	0.03
3.42	0	1	26.11	0.03
3.51	0	1	26.11	0.00
3.61	0	1	26.11	0.03
3.71	0	1	26.07	-0.03
3.81	0	1	26.07	0.00
3.91	0	1	26.07	-0.03
4.01	0	1	26.11	0.03
4.11	0	1	26.11	0.00
4.21	0	1	26.11	0.00
4.30	0	1	26.11	0.00
4.40	0	1	26.07	-0.03
4.50	0	1	26.11	0.00
4.60	0	1	26.11	0.00
4.70	0	1	26.11	0.03
4.80	0	1	26.11	0.03
4.90	0	1	26.11	0.03
5.00	0	1	26.11	0.00
5.10	0	1	26.11	0.00
5.20	0	1	26.11	0.00
5.29	0	1	26.11	0.00
5.39	0	1	26.11	0.03
5.49	0	1	26.11	0.00
5.59	0	1	26.07	-0.03
5.69	0	1	26.11	0.00
5.79	0	1	26.11	0.00
5.89	0	1	26.11	0.00
5.99	0	1	26.11	0.00
6.09	0	1	26.11	0.00
6.18	0	1	26.11	0.00
6.28	0	1	26.11	0.00
6.38	0	1	26.11	0.00
6.48	0	1	26.11	0.00
6.58	0	1	26.11	0.03
6.68	0	1	26.11	0.00
6.78	0	1	26.11	0.00
6.88	0	1	26.07	-0.03
6.98	0	1	26.11	0.00
7.07	0	1	26.11	0.00
7.17	0	1	26.11	0.00
7.27	0	1	26.11	0.00
7.37	0	1	26.11	0.00
7.47	0	1	26.11	0.00
7.57	0	1	26.11	0.00
7.67	0	1	26.14	0.03
7.77	0	1	26.11	0.00
7.86	0	1	26.14	0.07
7.96	0	1	26.11	0.00
8.06	0	1	26.11	0.00
8.16	0	1	26.11	0.00
8.26	0	1	26.11	0.00
8.36	0	1	26.11	0.00
8.46	0	1	26.11	0.00
8.56	0	1	26.11	0.00
8.65	0	1	26.14	0.00
8.76	0	1	26.14	0.03
8.85	0	1	26.11	-0.03
8.95	0	1	26.11	0.00
9.05	0	1	26.11	0.00
9.15	0	1	26.11	0.00
9.25	0	1	26.11	0.00
9.35	0	1	26.11	0.00
9.45	0	1	26.11	0.00
9.55	0	1	26.11	0.00
9.65	0	1	26.14	0.00
9.74	0	1	26.11	-0.03
9.84	0	1	26.11	0.00
9.94	0	1	26.11	0.00
10.04	0	1	26.11	0.00
10.14	0	1	26.14	0.03
10.24	1	1	26.11	0.00
10.34	1	1	26.11	0.00
10.44	1	1	26.11	0.00
10.53	1	1	26.11	0.00
10.63	1	1	26.14	0.00
10.73	1	1	26.11	0.00
10.83	1	1	26.11	0.00
10.93	1	1	26.11	0.00
11.03	1	1	26.11	0.00
11.13	1	1	26.11	-0.03
11.23	1	1	26.14	0.03
11.33	1	1	26.11	0.00
11.43	1	1	26.14	0.03
11.52	1	1	26.14	0.03
11.62	1	1	26.14	0.00
11.72	1	1	26.14	0.03
11.82	1	1	26.11	0.00
11.92	1	1	26.14	0.03
12.02	1	1	26.14	0.03
12.12	1	1	26.14	0.03
12.22	1	1	26.11	-0.03
12.32	1	1	26.14	0.03
12.42	1	1	26.11	-0.03
12.51	1	1	26.14	0.00
12.61	1	1	26.11	-0.03
12.71	1	1	26.14	0.00
12.81	1	1	26.14	0.03
12.91	1	1	26.14	0.00
13.01	1	1	26.14	0.00
13.11	1	1	26.14	0.00
13.21	1	1	26.14	0.03
13.31	1	1	26.17	0.03
13.40	1	1	26.11	0.00
13.50	1	1	26.14	0.00
13.60	1	1	26.14	0.03
13.70	1	1	26.14	0.00
13.80	1	1	26.14	0.00
13.90	1	1	26.14	0.00
14.00	1	1	26.14	0.00
14.10	1	1	26.14	0.00
14.20	1	1	26.14	0.00
14.30	1	1	26.14	-0.03
14.39	1	1	26.14	0.03
14.49	1	1	26.14	0.00
14.59	1	1	26.14	0.00
14.69	1	1	26.14	0.00
14.79	1	1	26.17	0.03
14.89	1	1	26.14	0.00
14.99	1	1	26.17	0.03
15.09	1	1	26.17	0.03
15.19	1	1	26.11	-0.03
15.28	1	1	26.14	0.00
15.38	1	1	26.17	0.03
15.48	1	1	26.17	0.03
15.58	1	1	26.17	0.03
15.68	1	1	26.14	0.00
15.78	1	1	26.14	-0.03
15.88	1	1	26.14	0.00
15.98	1	1	26.14	-0.03
16.08	1	1	26.17	0.00
16.17	1	1	26.14	0.03
16.27	1	1	26.14	0.00
16.37	1	1	26.14	-0.03
16.47	1	1	26.14	-0.03
16.57	1	1	26.14	-0.03
16.67	1	1	26.17	0.03
16.77	1	1	26.14	0.00
16.87	1	1	26.14	0.00
16.97	1	1	26.17	0.03
17.07	1	1	26.14	-0.03
17.17	1	1	26.17	0.03
17.26	1	1	26.17	0.03
17.36	1	1	26.17	0.03
17.46	1	1	26.17	0.03
17.56	1	1	26.14	0.00
17.66	1	1	26.17	0.00
17.76	1	1	26.17	0.03
17.86	1	1	26.17	0.03
17.96	1	1	26.17	0.00
18.05	1	1	26.17	0.03
18.15	1	1	26.14	-0.03
18.25	1	1	26.17	0.00
18.35	1	1	26.17	0.00
18.45	1	1	26.17	0.00
18.55	1	1	26.17	0.03
18.65	1	1	26.14	-0.03
18.75	1	1	26.17	0.00
18.85	1	1	26.17	0.00
