1.85	1	1	255	31.15	-0.04	-21.07	
1.95	1	1	255	31.12	-0.05	-26.02	
2.06	1	1	255	31.15	-0.05	-30.29	
2.16	1	1	255	31.15	-0.03	-34.36	
2.26	1	1	255	31.15	-0.03	-38.57	
2.36	1	1	255	31.15	-0.01	-43.23	
2.46	1	1	255	31.15	-0.02	-48.66	
2.57	1	1	255	31.15	0.00	-55.34	
2.67	1	1	255	31.15	0.01	-63.99	
2.77	1	1	255	31.15	0.01	-75.84	
2.87	1	1	255	31.12	0.00	-36.88	
2.97	1	1	255	31.15	-0.01	-25.67	
3.07	1	1	255	31.15	-0.01	-18.99	
3.18	1	1	255	31.12	-0.02	-14.07	
3.28	1	1	255	31.12	-0.03	-10.03	
3.38	1	1	255	31.12	-0.04	-6.57	
3.48	1	1	255	31.15	-0.02	-3.63	
3.58	1	1	255	31.15	-0.01	-1.35	
3.69	1	1	255	31.15	0.01	0.01	
3.79	1	1	255	31.15	0.02	0.02	
3.89	1	1	255	31.12	-0.00	0.02	
3.99	1	1	255	31.12	-0.00	0.01	
4.09	1	1	255	31.15	0.02	0.01	
4.19	1	1	255	31.12	-0.00	0.01	
4.30	1	1	255	31.15	-0.00	0.01	
4.40	1	1	255	31.19	0.01	0.01	
4.50	1	1	255	31.12	-0.00	0.00	
4.60	1	1	255	31.12	-0.01	0.01	
4.70	1	1	255	31.15	0.01	0.01	
4.80	1	1	255	31.12	0.01	0.01	
4.91	1	1	255	31.15	0.00	0.02	
5.01	1	1	255	31.15	-0.00	0.01	
5.11	1	1	255	31.15	0.01	0.02	
5.21	1	1	255	31.15	0.00	0.01	
5.31	1	1	255	31.12	-0.01	0.01	
5.41	1	1	255	31.12	0.01	0.00	
5.52	1	1	255	31.12	-0.01	-0.00	
5.62	1	1	255	31.12	-0.03	-0.01	
5.72	1	1	255	31.15	-0.01	-0.01	
5.82	1	1	255	31.15	-0.02	-0.01	
5.92	1	1	255	31.19	0.02	-0.01	
6.02	1	1	255	31.19	0.05	-0.00	
6.13	1	1	255	31.15	0.06	0.01	
6.23	1	1	255	31.12	0.05	0.02	
6.33	1	1	255	31.15	0.04	0.02	
6.43	1	1	255	31.12	0.00	0.02	
6.53	1	1	255	31.12	-0.03	0.01	
6.63	1	1	255	31.15	-0.04	0.00	
6.74	1	1	255	31.12	-0.06	-0.01	
6.84	1	1	255	31.15	-0.05	-0.01	
6.94	1	1	255	31.15	-0.02	-0.01	
7.04	1	1	255	31.15	0.02	-0.01	
7.14	1	1	255	31.15	0.03	-0.00	
7.24	1	1	255	31.12	0.01	-0.00	
7.35	1	1	255	31.15	0.02	0.00	
7.45	1	1	255	31.12	0.00	0.00	
7.55	1	1	255	31.12	-0.02	-0.01	
7.65	1	1	255	31.15	-0.01	-0.01	
7.75	1	1	255	31.15	-0.01	-0.02	
7.86	1	1	255	31.15	-0.00	-0.02	
7.96	1	1	255	31.15	0.01	-0.02	
8.06	1	1	255	31.15	0.02	-0.01	
8.16	1	1	255	31.12	0.02	0.00	
8.26	1	1	255	31.15	0.01	0.01	
8.36	1	1	255	31.12	0.00	0.02	
8.47	1	1	255	31.15	-0.00	0.02	
8.57	1	1	255	31.12	-0.03	0.02	
8.67	1	1	255	31.12	-0.04	0.01	
8.77	1	1	255	31.12	-0.04	-0.01	
8.87	1	1	255	31.12	-0.04	-0.02	
8.97	1	1	255	31.15	-0.01	-0.02	
9.08	1	1	255	31.12	-0.01	-0.02	
9.18	1	1	255	31.15	-0.00	-0.01	
9.28	1	1	255	31.12	0.01	-0.01	
9.38	1	1	255	31.15	0.01	-0.00	
9.48	1	1	255	31.12	0.02	0.00	
9.58	1	1	255	31.12	0.01	0.00	
9.69	1	1	255	31.12	-0.01	-0.00	
9.79	1	1	255	31.12	-0.02	-0.00	
9.89	1	1	255	31.12	-0.03	-0.01	
9.99	1	1	255	31.12	-0.02	-0.01	
10.09	1	1	255	31.12	-0.03	-0.01	
10.20	1	1	255	31.12	-0.01	-0.00	
