79	101	209.90
258	101	209.93
436	101	209.93
614	101	209.90
792	101	209.93
970	101	209.90
1148	101	209.90
1328	101	209.93
1506	101	209.90
1684	101	209.90
1862	101	209.90
2040	101	209.86
2219	101	209.90
2397	101	209.86
2575	101	209.86
2754	101	209.86
2932	101	209.90
3110	101	209.83
3289	101	209.83
3467	101	209.86
3645	101	209.83
3823	101	209.79
4001	101	209.79
4180	101	209.79
4359	101	209.76
4537	101	209.76
4715	101	209.76
4893	101	209.76
5071	101	209.79
5250	101	209.76
5428	101	209.76
5606	101	209.72
5785	101	209.72
5963	101	209.72
6141	101	209.68
6320	101	209.68
6498	101	209.68
6676	101	209.68
6854	101	209.65
7032	101	209.65
7212	101	209.68
7390	101	209.65
7568	101	209.65
7746	101	209.65
7924	101	209.65
8102	101	209.61
8281	101	209.65
8459	101	209.61
8637	101	209.61
8816	101	209.61
8994	101	209.61
9172	101	209.61
9351	101	209.61
9529	101	209.61
9707	101	209.61
9885	101	209.58
10063	101	209.61
10243	101	209.58
10421	101	209.61
10599	101	209.58
10777	101	209.61
10955	101	209.58
11133	101	209.54
11313	101	209.58
11491	101	209.61
11669	101	209.58
11847	101	209.58
12025	101	209.61
12204	101	209.58
12383	101	209.61
12561	101	209.58
12739	101	209.58
12917	101	209.61
13095	101	209.61
13274	101	209.61
13453	101	209.65
13631	101	209.61
13809	101	209.61
13987	101	209.61
14166	101	209.61
14344	101	209.58
14523	101	209.61
14701	101	209.58
14879	101	209.61
15057	101	209.61
15236	101	209.61
15414	101	209.58
15593	101	209.61
15771	101	209.65
15949	101	209.61
16128	101	209.61
16306	101	209.61
16484	101	209.61
16663	101	209.65
16841	101	209.61
17019	101	209.61
17198	101	209.61
17376	101	209.61
17554	101	209.61
17733	101	209.61
17911	101	209.65
18089	101	209.65
18268	101	209.61
18446	101	209.61
18624	101	209.65
18803	101	209.58
18981	101	209.58
19160	101	209.58
19338	101	209.58
19516	101	209.61
19694	101	209.61
19873	101	209.58
20051	101	209.61
20230	101	209.61
20408	101	209.58
20586	101	209.58
20764	101	209.61
20943	101	209.58
21122	101	209.58
21300	101	209.58
21478	101	209.54
21656	101	209.54
21834	101	209.58
22013	101	209.58
22192	101	209.54
22370	101	209.54
22548	101	209.58
22726	101	209.54
22904	101	209.54
23084	101	209.50
23262	101	209.50
23440	101	209.50
23618	101	209.50
23796	101	209.50
23974	101	209.50
24153	101	209.47
24332	101	209.50
24510	101	209.50
24688	101	209.50
24866	101	209.47
25044	101	209.47
