1.83	1	1	255	25.77	0.00
1.93	1	1	255	25.77	0.00
2.03	1	1	255	25.80	0.02
2.13	1	1	255	25.80	0.03
2.23	1	1	255	25.80	0.03
2.33	1	1	255	25.80	0.03
2.43	1	1	255	25.77	0.00
2.53	1	1	255	25.80	0.03
2.63	1	1	255	25.80	0.07
2.72	1	1	255	25.80	0.01
2.82	1	1	255	25.77	0.00
2.92	1	1	255	25.80	0.03
3.02	1	1	255	25.80	0.00
3.12	1	1	255	25.80	0.00
3.22	1	1	255	25.80	0.00
3.32	1	1	255	25.84	0.03
3.42	1	1	255	25.84	0.07
3.52	1	1	255	25.80	0.00
3.62	1	1	255	25.80	0.00
3.72	1	1	255	25.80	0.00
3.81	1	1	255	25.80	0.03
3.91	1	1	255	25.84	0.03
4.01	1	1	255	25.84	0.03
4.11	1	1	255	25.84	0.03
4.21	1	1	255	25.80	0.00
4.31	1	1	255	25.84	0.00
4.41	1	1	255	25.84	0.00
4.51	1	1	255	25.84	0.03
4.61	1	1	255	25.84	0.03
4.71	1	1	255	25.84	0.03
4.80	1	1	255	25.87	0.07
4.91	1	1	255	25.87	0.03
5.00	1	1	255	25.84	0.00
5.10	1	1	255	25.84	0.00
5.20	1	1	255	25.84	0.03
5.30	1	1	255	25.87	0.03
5.40	1	1	255	25.87	0.03
5.50	1	1	255	25.87	0.03
5.60	1	1	255	25.87	0.03
5.70	1	1	255	25.87	0.03
5.80	1	1	255	25.84	-0.03
5.90	1	1	255	25.84	-0.03
5.99	1	1	255	25.87	0.03
6.09	1	1	255	25.87	0.03
6.19	1	1	255	25.87	0.03
6.29	1	1	255	25.87	0.00
6.39	1	1	255	25.87	0.00
6.49	1	1	255	25.87	0.00
6.59	1	1	255	25.87	0.00
6.69	1	1	255	25.90	0.03
6.79	1	1	255	25.87	0.03
6.89	1	1	255	25.90	0.07
6.99	1	1	255	25.87	0.00
7.09	1	1	255	25.87	0.00
7.18	1	1	255	25.87	0.00
7.28	1	1	255	25.90	0.03
7.38	1	1	255	25.90	0.03
7.48	1	1	255	25.90	0.03
7.58	1	1	255	25.87	0.00
7.68	1	1	255	25.87	-0.03
7.78	1	1	255	25.87	0.00
7.88	1	1	255	25.90	0.00
7.98	1	1	255	25.90	0.03
8.07	1	1	255	25.90	0.03
8.17	1	1	255	25.90	0.03
8.27	1	1	255	25.90	0.00
8.37	1	1	255	25.90	0.00
8.47	1	1	255	25.90	0.00
8.57	1	1	255	25.90	0.03
8.67	1	1	255	25.94	0.07
8.77	1	1	255	25.94	0.07
8.87	1	1	255	25.90	0.00
8.97	1	1	255	25.90	0.00
9.07	1	1	255	25.94	0.03
9.17	1	1	255	25.94	0.03
9.26	1	1	255	25.94	0.03
9.36	1	1	255	25.94	0.03
9.46	1	1	255	25.97	0.07
9.56	1	1	255	25.94	0.03
9.66	1	1	255	25.94	0.00
9.76	1	1	255	25.94	0.00
9.86	1	1	255	25.94	0.03
9.96	1	1	255	25.97	0.07
10.06	1	1	255	25.94	0.00
10.16	1	1	255	25.94	0.00
10.26	1	1	255	25.94	0.00
10.35	1	1	255	25.94	0.00
10.45	1	1	255	25.94	-0.03
10.55	1	1	255	25.97	0.03
10.65	1	1	255	25.97	0.03
10.75	1	1	255	25.97	0.03
