1.85	1	2	1	255	26.61	0.06	-63.42	
1.95	1	2	1	255	26.61	0.06	-43.73	
2.05	1	2	1	255	26.61	0.06	-33.85	
2.15	1	2	1	255	26.61	0.07	-27.07	
2.25	1	2	1	255	26.65	0.06	-21.36	
2.35	1	2	1	255	26.61	0.07	-15.76	
2.45	1	2	1	255	26.65	0.08	-9.93	
2.55	1	2	1	255	26.65	0.06	-4.21	
2.66	1	2	1	255	26.68	0.08	0.03	
2.76	1	2	1	255	26.65	0.06	0.01	
2.86	1	2	1	255	26.68	0.07	0.01	
2.96	1	2	1	255	26.68	0.08	0.01	
3.06	1	2	1	255	26.68	0.07	0.01	
3.16	1	2	1	255	26.68	0.06	-0.00	
3.26	1	2	1	255	26.72	0.08	0.00	
3.36	1	2	1	255	26.72	0.07	0.00	
3.47	1	2	1	255	26.72	0.07	0.00	
3.57	1	2	1	255	26.72	0.06	-0.01	
3.67	1	2	1	255	26.72	0.07	-0.00	
3.77	1	2	1	255	26.72	0.05	-0.02	
3.87	1	2	1	255	26.75	0.06	-0.02	
3.97	1	2	1	255	26.75	0.06	-0.01	
4.07	1	2	1	255	26.75	0.06	-0.01	
4.17	1	2	1	255	26.75	0.05	-0.02	
4.27	1	2	1	255	26.75	0.05	-0.02	
4.37	1	2	1	255	26.75	0.05	-0.02	
4.48	1	2	1	255	26.78	0.06	-0.01	
4.58	1	2	1	255	26.78	0.06	-0.00	
4.68	1	2	1	255	26.78	0.06	0.00	
4.78	1	2	1	255	26.82	0.07	0.00	
4.88	1	2	1	255	26.82	0.08	0.02	
4.98	1	2	1	255	26.82	0.09	0.04	
5.08	1	2	1	255	26.82	0.09	0.05	
5.18	1	2	1	255	26.82	0.08	0.05	
5.28	1	2	1	255	26.85	0.09	0.04	
5.39	1	2	1	255	26.82	0.06	0.02	
5.49	1	2	1	255	26.82	0.04	-0.01	
5.59	1	2	1	255	26.85	0.04	-0.03	
5.69	1	2	1	255	26.85	0.03	-0.06	
5.79	1	2	1	255	26.85	0.04	-0.07	
5.89	1	2	1	255	26.88	0.06	-0.06	
5.99	1	2	1	255	26.88	0.07	-0.04	
6.09	1	2	1	255	26.88	0.08	-0.01	
6.20	1	2	1	255	26.88	0.07	0.01	
6.30	1	2	1	255	26.88	0.08	0.05	
